trust_index,cntry,agea,gndr,eisced,hincfel,geo,gini,gdp_pps
5.0,AT,65,1,3,1,AT,28.1,121.0
3.6666666666666665,AT,21,2,5,2,AT,28.1,121.0
7.666666666666667,AT,53,2,6,1,AT,28.1,121.0
6.0,AT,78,2,5,2,AT,28.1,121.0
5.666666666666667,AT,64,1,3,2,AT,28.1,121.0
6.666666666666667,AT,59,2,4,1,AT,28.1,121.0
7.333333333333333,AT,77,2,2,2,AT,28.1,121.0
8.0,AT,69,2,7,1,AT,28.1,121.0
7.333333333333333,AT,52,2,5,2,AT,28.1,121.0
3.3333333333333335,AT,75,2,2,2,AT,28.1,121.0
5.333333333333333,AT,44,2,5,2,AT,28.1,121.0
6.333333333333333,AT,49,1,3,2,AT,28.1,121.0
6.333333333333333,AT,63,2,3,2,AT,28.1,121.0
4.333333333333333,AT,76,2,2,2,AT,28.1,121.0
8.333333333333334,AT,30,2,7,2,AT,28.1,121.0
6.666666666666667,AT,67,2,3,1,AT,28.1,121.0
8.0,AT,41,1,3,1,AT,28.1,121.0
4.666666666666667,AT,82,2,3,1,AT,28.1,121.0
2.0,AT,26,1,3,1,AT,28.1,121.0
5.0,AT,42,1,2,4,AT,28.1,121.0
6.333333333333333,AT,85,2,3,1,AT,28.1,121.0
6.0,AT,72,1,3,1,AT,28.1,121.0
5.0,AT,31,1,3,3,AT,28.1,121.0
4.666666666666667,AT,47,1,5,1,AT,28.1,121.0
7.0,AT,50,2,3,2,AT,28.1,121.0
8.666666666666666,AT,60,2,4,1,AT,28.1,121.0
7.333333333333333,AT,43,2,6,2,AT,28.1,121.0
4.666666666666667,AT,41,2,3,2,AT,28.1,121.0
7.666666666666667,AT,35,2,4,2,AT,28.1,121.0
4.0,AT,49,2,2,2,AT,28.1,121.0
6.0,AT,36,2,3,2,AT,28.1,121.0
8.666666666666666,AT,46,1,7,2,AT,28.1,121.0
6.0,AT,81,2,2,2,AT,28.1,121.0
8.0,AT,57,2,3,2,AT,28.1,121.0
9.333333333333334,AT,67,2,5,2,AT,28.1,121.0
10.0,AT,38,2,3,1,AT,28.1,121.0
7.0,AT,42,2,5,1,AT,28.1,121.0
8.333333333333334,AT,59,2,2,2,AT,28.1,121.0
6.666666666666667,AT,77,1,2,1,AT,28.1,121.0
2.6666666666666665,AT,58,1,3,2,AT,28.1,121.0
5.333333333333333,AT,38,2,3,3,AT,28.1,121.0
6.333333333333333,AT,79,2,3,2,AT,28.1,121.0
7.0,AT,25,2,3,3,AT,28.1,121.0
7.333333333333333,AT,34,2,3,1,AT,28.1,121.0
7.666666666666667,AT,74,1,7,2,AT,28.1,121.0
4.333333333333333,AT,74,1,3,2,AT,28.1,121.0
7.0,AT,36,2,6,2,AT,28.1,121.0
4.666666666666667,AT,28,1,3,3,AT,28.1,121.0
7.666666666666667,AT,65,1,3,3,AT,28.1,121.0
4.666666666666667,AT,42,2,2,2,AT,28.1,121.0
6.333333333333333,AT,60,1,7,3,AT,28.1,121.0
7.333333333333333,AT,60,1,3,2,AT,28.1,121.0
5.666666666666667,AT,16,2,2,2,AT,28.1,121.0
6.333333333333333,AT,28,1,5,2,AT,28.1,121.0
5.0,AT,71,2,3,1,AT,28.1,121.0
4.0,AT,20,2,3,2,AT,28.1,121.0
7.666666666666667,AT,80,2,2,2,AT,28.1,121.0
5.0,AT,75,2,2,2,AT,28.1,121.0
5.333333333333333,AT,51,1,5,2,AT,28.1,121.0
