cntry,trust_index,gini,gdp_pps
AT,6.138983290852449,28.1,121.0
BE,5.617210372229193,24.3,118.0
BG,3.938663093642995,37.2,63.0
CH,6.052663292359605,31.5,154.0
CY,4.207542579075426,29.3,97.0
DE,5.567011019283746,29.4,118.0
EE,5.612786800721835,31.8,80.0
ES,5.203743895822029,31.5,91.0
FI,6.793132864150138,26.6,103.0
FR,5.107909604519774,29.7,99.0
HR,4.68301282051282,29.7,78.0
HU,4.750865596474662,28.6,76.0
IE,5.892331845975872,27.4,218.0
IT,4.410780885780886,31.5,98.0
LT,5.181929181929181,35.7,86.0
LV,4.849174653887114,34.0,70.0
NL,6.19974404410317,26.5,131.0
NO,6.581650461231613,24.7,169.0
PL,4.761442441054092,27.0,77.0
PT,4.452467785071724,33.7,81.0
RS,4.290147152911069,31.7,48.0
SE,6.410162601626016,29.5,111.0
SI,5.165196471531676,23.4,91.0
SK,4.324318076745262,21.6,74.0
